userID,Duration,Page,Order,Language,TaskPage,Answer
6515,2.800000000000182,14,4,Spanish,4,1
6515,4.899999999999864,16,2,Spanish,1,1
6515,5.0,17,0,Spanish,2,1
6515,5.399999999999864,17,0,Spanish,3,1
6515,3.7999999999999545,17,0,Spanish,4,1
6515,1.7000000000000455,18,3,Spanish,3,1
6515,3.1000000000001364,18,3,Spanish,5,1
6515,3.1000000000001364,19,4,Spanish,2,1
6515,1.900000000000091,21,2,Spanish,1,1
6515,9.700000000000045,22,0,Spanish,1,1
6515,5.0,22,0,Spanish,4,1
6515,0.8000000000001819,23,3,Spanish,3,1
6515,6.899999999999864,23,3,Spanish,4,1
6515,4.400000000000091,23,3,Spanish,5,1
6515,4.699999999999818,24,4,Spanish,2,1
6515,2.400000000000091,27,0,Spanish,3,1
6515,2.600000000000364,27,0,Spanish,5,1
6515,2.099999999999909,28,3,Spanish,3,1
6515,2.200000000000273,28,3,Spanish,4,1
6515,2.399999999999636,28,3,Spanish,5,1
6515,3.699999999999818,29,4,Spanish,4,1
6965,19.59999999999991,2,0,Spanish,2,1
6965,7.200000000000273,2,0,Spanish,3,1
6965,4.300000000000182,3,3,Spanish,4,1
6965,8.299999999999727,3,3,Spanish,5,1
6965,6.900000000000091,4,4,Spanish,4,1
6965,4.0,6,2,Spanish,1,1
6965,41.20000000000027,11,2,Spanish,2,1
6965,6.0,12,0,Spanish,4,1
6965,9.0,12,0,Spanish,5,1
6965,2.900000000000091,14,4,Spanish,2,1
6965,10.400000000000091,16,2,Spanish,2,1
6965,42.09999999999991,17,0,Spanish,1,1
6965,1.400000000000091,19,4,Spanish,4,1
6965,5.0,21,2,Spanish,2,1
6965,6.599999999999909,22,0,Spanish,2,1
6965,6.8999999999999915,28,3,Spanish,3,1
3816,3.099999999999909,1,0,Spanish,3,1
3816,5.299999999999727,1,0,Spanish,4,1
3816,5.900000000000091,2,3,Spanish,5,1
3816,5.799999999999727,6,0,Spanish,1,1
3816,3.0,6,0,Spanish,2,1
3816,6.100000000000364,6,0,Spanish,3,1
3816,16.0,12,3,Spanish,3,1
3816,4.200000000000273,12,3,Spanish,4,1
3816,2.599999999999909,14,2,Spanish,2,1
3816,2.799999999999727,16,0,Spanish,1,1
3816,3.0,16,0,Spanish,5,1
3816,1.300000000000182,17,3,Spanish,4,1
3816,2.299999999999727,19,2,Spanish,1,1
3816,1.6000000000003638,21,0,Spanish,1,1
3816,8.099999999999909,21,0,Spanish,3,1
3816,3.600000000000364,22,3,Spanish,3,1
3816,1.2999999999997272,22,3,Spanish,5,1
3816,4.900000000000091,24,2,Spanish,1,1
3816,11.300000000000182,24,2,Spanish,2,1
3816,6.799999999999727,26,0,Spanish,1,1
3816,13.400000000000091,26,0,Spanish,2,1
3816,7.400000000000091,26,0,Spanish,3,1
