CH/SP -> CH/SP:,CH/SP -> Eng:,Eng -> Eng:,Eng -> CH/SP:
3.0999999999999086,2.699999999999818,5.900000000000091,2.0
4.300000000000182,0.8000000000001819,5.099999999999909,9.299999999999727
2.200000000000045,2.1999999999998185,3.7000000000000455,2.899999999999636
2.1000000000001364,1.7999999999997272,2.599999999999909,4.5
3.2999999999999545,1.599999999999909,2.1000000000001364,3.3999999999999986
3.5,4.400000000000091,2.7999999999999545,2.1000000000000014
1.899999999999864,9.5,7.2000000000000455,2.3000000000000007
5.600000000000137,8.300000000000068,0.900000000000091,8.400000000000091
1.7000000000000457,6.400000000000091,2.099999999999909,4.100000000000364
5.699999999999817,4.699999999999932,3.5,2.6000000000000227
6.2000000000000455,2.700000000000045,3.7000000000000455,9.199999999999989
9.799999999999956,2.2999999999999545,1.2999999999999543,7.300000000000012
3.9000000000000914,9.5,1.0,4.899999999999976
4.599999999999909,,0.7000000000000455,3.6999999999999313
4.5,,3.5,4.900000000000091
4.899999999999864,,3.899999999999864,0.8000000000000682
2.800000000000182,,3.1000000000001364,1.1000000000000227
4.2000000000000455,,3.1000000000001364,1.0
5.0,,5.599999999999909,5.100000000000024
5.399999999999863,,2.899999999999864,7.0
3.7999999999999545,,3.7000000000000455,1.3000000000001821
1.0,,2.2999999999999545,1.1000000000001364
1.7000000000000457,,1.5,2.099999999999909
7.099999999999909,,9.299999999999956,1.0
3.1000000000001364,,7.699999999999817,2.099999999999909
1.900000000000091,,1.7000000000000457,8.700000000000045
2.5,,2.5,3.2999999999999545
9.700000000000044,,5.2000000000000455,3.2999999999999545
2.0,,1.699999999999818,1.1000000000003638
2.1000000000001364,,2.9000000000000914,2.200000000000273
5.0,,1.900000000000091,4.199999999999818
2.399999999999864,,3.199999999999818,1.5
0.8000000000001819,,3.0999999999999086,3.300000000000182
6.899999999999863,,3.700000000000273,1.1000000000003638
4.400000000000091,,2.700000000000273,0.900000000000091
7.0,,1.699999999999818,1.5
2.299999999999727,,3.699999999999818,1.0999999999999093
2.5,,2.3000000000001815,3.200000000000273
5.900000000000091,,1.800000000000182,1.699999999999818
2.400000000000091,,2.800000000000182,6.099999999999909
3.799999999999727,,1.899999999999636,5.399999999999976
2.6000000000003642,,2.6000000000003642,6.399999999999977
2.099999999999909,,0.7999999999997272,5.100000000000024
2.200000000000273,,3.799999999999727,1.7999999999999543
2.3999999999996358,,2.299999999999727,1.7999999999999543
7.400000000000091,,6.300000000000183,6.699999999999932
7.200000000000273,,5.400000000000091,2.0
3.299999999999727,,8.599999999999909,4.300000000000068
7.400000000000091,,3.5999999999999086,5.5
5.0,,0.900000000000091,0.8999999999998636
4.300000000000182,,1.699999999999818,5.900000000000091
8.299999999999727,,1.400000000000091,1.2999999999999543
4.0,,0.8999999999996362,4.2999999999999545
4.700000000000274,,2.100000000000364,
3.4000000000000914,,3.699999999999818,
3.5999999999999086,,6.900000000000091,
2.400000000000091,,6.300000000000183,
8.5,,1.699999999999818,
1.2000000000002728,,3.699999999999818,
1.2999999999997272,,5.699999999999817,
3.800000000000182,,0.6999999999998181,
