MEDIA_ID,MEDIA_NAME,CNT,TIME(2019/10/31 15:34:41.017),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,TTL0,TTL1,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,Unnamed: 49,X_Coordinate,Y_Coordinate,AOI_TYPE,Page,userID,Is_Refixation,Left_Difference,Right_Difference,Saccade_length,Saccade_absolute_angle,Saccade_relative_angle
1,hapii,752,5.07275,5724680611320,0.49358,0.18832000000000002,4.86914,0.20360999999999999,21,1,0.47797,0.17395,0,0.46458,0.39352,0,,0.28514,0.61088,17.28569,1.00385,0,0.56589,0.62702,16.91825,1.0101799999999999,0,0,0.0,26,3.5508599999999997,0,3.18528,0,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,147.19288999999995,76.95042,,948,203,RESULT1,0,4458,0,0.009455882352941371,-0.3303982352941168,147.19283090422576,-76.95045059866762,93.72075901900362
1,hapii,810,5.4721699999999975,5724684607840,0.6823899999999999,0.24345999999999998,5.21387,0.2583,22,1,0.68315,0.28759,1,0.46458,0.39352,0,,0.29611,0.6125,18.6749,0.99129,1,0.5771,0.63094,18.726679999999998,0.99129,1,0,0.0,26,3.87515,1,4.04427,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,367.37384,350.6712,,1310,263,NOT_AOI,0,4458,0,0.3337458823529413,0.5285917647058831,367.3739452553486,9.328790382328773,2.091768658129737
1,hapii,862,5.83447,5724688228203,0.49733,0.177,5.69482,0.13965,23,1,0.48108999999999996,0.14962999999999999,1,0.46458,0.39352,0,,0.27668000000000004,0.60949,20.627779999999998,1.0101799999999999,1,0.55762,0.62244,20.810470000000002,1.0101799999999999,1,0,0.0,26,4.08979,1,4.07022,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,362.4924,168.57943999999995,,955,191,RESULT1,0,4458,0,0.5483858823529411,0.554541764705883,362.49248319003794,-168.5794409595415,176.92625215701315
1,hapii,922,6.2358400000000005,5724692245850,0.47185,0.16529000000000002,5.84082,0.39502,24,1,0.47523999999999994,0.18607,1,0.48333000000000004,0.38519000000000003,0,,0.27139,0.6040800000000001,19.28966,1.0101799999999999,1,0.55152,0.6151300000000001,19.21056,1.0101799999999999,1,0,0.0,26,4.1241,1,3.93267,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,50.52981,165.50568,,906,179,RESULT1,0,4458,0,0.5826958823529416,0.41699176470588295,50.5298376882412,-165.50569311655465,18.634530294651423
1,hapii,959,6.4858400000000005,5724694743970,0.49863,0.19635999999999998,6.24268,0.24316,25,1,0.5098,0.5484100000000001,0,0.47968999999999995,0.36389,0,,0.26532,0.61233,17.75747,1.0101799999999999,0,0.54568,0.62385,15.253520000000002,1.0101799999999999,0,0,0.0,26,3.6551699999999996,0,3.46184,0,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,61.39823000000001,326.87112,,957,212,RESULT1,0,4458,0,0.11376588235294127,-0.05383823529411691,61.398272623258684,33.12883717809677,167.71307127429998
1,hapii,1045,7.07568,5724700640746,0.505,0.20785,6.64648,0.4292,26,1,0.53818,0.25165,0,0.48333000000000004,0.29352,0,,0.24215,0.62436,14.9554,1.0383200000000001,0,0.52304,0.6280100000000001,16.40364,1.0383200000000001,0,0,0.0,26,3.23504,0,4.2439,0,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,17.423289999999998,314.58426000000014,,970,224,RESULT1,0,4458,0,-0.3063641176470586,0.7282217647058831,17.42328696888166,45.41576590379677,97.55170029275212
1,hapii,1113,7.54248,5724705311955,0.48752,0.24781999999999998,7.2431600000000005,0.29932,27,1,0.49512,0.21663000000000002,1,0.48281,0.26019000000000003,0,,0.24500999999999998,0.6247699999999999,22.07841,0.97856,1,0.52685,0.63127,21.84916,0.97856,1,0,0.0,26,4.02904,1,4.06431,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,54.67926,232.13596,,936,268,RESULT1,0,4458,0,0.4876358823529414,0.5486317647058829,54.67927106609962,127.86406561104465,28.48872408361144
1,hapii,1137,7.7031300000000025,5724706916799,0.49053,0.21541,7.54932,0.15381,28,1,0.4807,0.13601,1,0.4864600000000001,0.26111,0,,0.24506,0.62128,20.04844,1.0383200000000001,1,0.52658,0.62813,20.35727,1.0383200000000001,1,0,0.0,26,4.14131,1,4.12876,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,35.4767,80.6246,,942,233,RESULT1,0,4458,0,0.5999058823529411,0.6130817647058828,35.47668474477288,-80.62465847256678,118.04321600417276
1,hapii,1198,8.11182,5724711003849,0.46203999999999995,0.17665999999999998,7.7099600000000015,0.40186,29,1,0.45255,0.10544,1,0.4401,0.17685,0,,0.23376999999999998,0.62283,21.50238,0.97859,1,0.51568,0.6267,20.80409,0.98492,1,0,0.0,26,4.28198,1,4.17978,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,68.87379,142.58145,,887,191,RESULT1,0,4458,0,0.7405758823529411,0.6641017647058831,68.87379777999774,-142.58144246839402,143.91088546111854
1,hapii,1255,8.49365,5724714821007,0.44476000000000004,0.0729,8.11865,0.375,30,1,0.44822,0.0075200000000000015,1,0.40625,0.24074,0,,0.24176999999999998,0.6160899999999999,21.829079999999998,1.04528,1,0.52344,0.6208199999999999,20.88445,1.03825,1,0,0.0,25,4.2702,1,4.14842,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,116.86906,106.49233999999998,,854,79,NOT_AOI,0,4458,0,0.7287958823529412,0.6327417647058828,116.86905509329654,-106.49232792951257,80.45319454673876
