MEDIA_ID,MEDIA_NAME,BKID,BKDUR,BKPMIN,X_Coordinate,Y_Coordinate,userID,AOI_TYPE,Page
1,hapii,1425,0.10492,6,311,48,2899,NOT_AOI,7
1,hapii,1426,0.0767,7,434,85,2899,NOT_AOI,7
1,hapii,1427,0.013030000000000002,8,921,230,2899,RESULT1,7
1,hapii,1428,0.062060000000000004,7,0,0,2899,NOT_AOI,8
1,hapii,1429,0.0949,7,1155,64,2899,NOT_AOI,8
1,hapii,1430,0.07864,7,763,487,2899,RESULT3,8
1,hapii,1431,0.13519,5,330,455,2899,NOT_AOI,8
1,hapii,1432,0.05633,6,531,516,2899,NOT_AOI,8
1,hapii,1433,0.17342,6,369,231,2899,NOT_AOI,9
1,hapii,1434,0.31668,7,302,221,2899,NOT_AOI,9
1,hapii,1435,0.23099,6,414,415,2899,NOT_AOI,9
1,hapii,1436,0.12658,7,916,18,2899,NOT_AOI,10
1,hapii,1437,0.12554,7,376,279,2899,NOT_AOI,10
1,hapii,1438,0.07697999999999999,8,323,394,2899,NOT_AOI,10
1,hapii,1439,0.13514,7,750,860,2899,RESULT6,10
1,hapii,1440,0.22191999999999998,7,334,352,2899,NOT_AOI,10
1,hapii,1441,0.08504,7,734,234,2899,RESULT1,11
1,hapii,1442,0.08095,6,350,149,2899,NOT_AOI,11
1,hapii,1443,0.03253,6,672,356,2899,RESULT2,11
1,hapii,1444,0.02121,7,0,0,2899,NOT_AOI,11
1,hapii,1445,0.06928,7,352,118,2899,NOT_AOI,12
1,hapii,1446,0.16610999999999998,8,420,120,2899,NOT_AOI,12
1,hapii,1447,0.18525,9,397,69,2899,NOT_AOI,12
1,hapii,1448,0.08127999999999999,7,908,550,2899,NOT_AOI,12
1,hapii,1449,0.16625,6,350,425,2899,NOT_AOI,12
1,hapii,1450,0.15288,6,383,60,2899,NOT_AOI,13
1,hapii,1451,0.20012,5,363,22,2899,NOT_AOI,13
1,hapii,1452,0.10203999999999999,5,341,134,2899,NOT_AOI,13
1,hapii,1454,0.126,7,320,63,2899,NOT_AOI,14
1,hapii,1455,0.19275,7,641,208,2899,RESULT1,15
1,hapii,1456,0.15496,8,363,87,2899,NOT_AOI,15
1,hapii,1457,0.13817000000000002,8,370,86,2899,NOT_AOI,15
1,hapii,1458,0.14229,7,332,202,2899,NOT_AOI,15
1,hapii,1459,0.05642000000000001,7,0,0,2899,NOT_AOI,15
1,hapii,1460,0.07739,8,659,1638,2899,NOT_AOI,15
1,hapii,1461,0.10862999999999999,7,338,33,2899,NOT_AOI,16
1,hapii,1462,0.12237999999999999,8,745,26,2899,NOT_AOI,16
1,hapii,1463,0.11946,9,355,10,2899,NOT_AOI,17
1,hapii,1464,0.09075,7,444,151,2899,NOT_AOI,17
1,hapii,1465,0.04034,8,571,591,2899,NOT_AOI,17
1,hapii,1466,0.12742,8,514,407,2899,NOT_AOI,17
1,hapii,1467,0.14115999999999998,9,298,7,2899,NOT_AOI,18
1,hapii,1468,0.06917000000000001,9,726,374,2899,RESULT2,18
1,hapii,1469,0.1021,9,731,27,2899,NOT_AOI,18
1,hapii,1470,0.11648,10,382,168,2899,NOT_AOI,18
1,hapii,1471,0.08367999999999999,8,410,25,2899,NOT_AOI,19
1,hapii,1472,0.0764,8,746,848,2899,RESULT6,19
1,hapii,1473,0.04183,8,1252,369,2899,RESULT2,19
1,hapii,1475,0.13162000000000001,6,348,291,2899,NOT_AOI,20
1,hapii,1476,0.08345,7,879,570,2899,RESULT4,20
1,hapii,1477,0.13617,7,448,457,2899,NOT_AOI,20
1,hapii,1478,0.057579999999999985,8,335,58,2899,NOT_AOI,21
1,hapii,1479,0.06849,8,499,262,2899,NOT_AOI,21
1,hapii,1480,0.11389,8,761,848,2899,RESULT6,21
1,hapii,1481,0.10934,8,579,67,2899,NOT_AOI,22
1,hapii,1482,0.08819,8,334,66,2899,NOT_AOI,22
1,hapii,1483,0.12655,6,872,859,2899,RESULT6,22
1,hapii,1484,0.11205,6,316,49,2899,NOT_AOI,23
1,hapii,1485,0.19847,7,339,63,2899,NOT_AOI,23
1,hapii,1486,0.11572,7,325,187,2899,NOT_AOI,23
1,hapii,1487,0.1111,8,307,-28,2899,NOT_AOI,24
1,hapii,1488,0.18313,9,249,235,2899,NOT_AOI,24
1,hapii,1489,0.10203,7,783,338,2899,RESULT2,24
1,hapii,1490,0.07923999999999999,8,530,229,2899,NOT_AOI,24
1,hapii,1491,0.23471,9,841,645,2899,RESULT4,24
1,hapii,1492,0.12285,10,556,186,2899,NOT_AOI,24
1,hapii,1493,0.10094,11,483,275,2899,NOT_AOI,24
1,hapii,1494,0.11180999999999999,12,375,225,2899,NOT_AOI,24
1,hapii,1495,0.12573,13,390,291,2899,NOT_AOI,24
1,hapii,1496,0.12134,14,424,578,2899,NOT_AOI,24
1,hapii,1497,0.19567,15,358,334,2899,NOT_AOI,24
1,hapii,1499,0.05847,14,430,22,2899,NOT_AOI,25
1,hapii,1500,0.22896999999999998,14,357,145,2899,NOT_AOI,25
1,hapii,1501,0.11528,15,348,266,2899,NOT_AOI,25
1,hapii,1502,0.12195999999999999,14,335,436,2899,NOT_AOI,25
1,hapii,1503,0.10724000000000004,15,327,39,2899,NOT_AOI,26
1,hapii,1504,0.21175,14,318,144,2899,NOT_AOI,26
1,hapii,1505,0.041710000000000004,11,437,338,2899,NOT_AOI,26
1,hapii,1506,0.09454,12,326,545,2899,NOT_AOI,26
1,hapii,1507,0.13607,12,315,90,2899,NOT_AOI,27
1,hapii,1508,0.24308000000000002,11,459,315,2899,NOT_AOI,27
