Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Refixation_Ratio,Average_Saccade_Length,Saccade_Length_SD,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Average_Right_Eye_Difference,Right_Eye_Difference_SD,Blink_Count,Average_Blink_Duration,LanguageSwitch,CEFR Median
0.1875,0.088388348,0.375,0.0625,17.38712068,207.40300580000002,17.38712068,81.38092328,88.58211019,41.53709912,-0.052323693,0.452116849,-0.052323693,0.452116849,2,0.07696499999999999,No,High
0.23660714300000002,0.146915024,0.625,0.071428571,-21.42864587,364.51464599999997,-21.42864587,100.19110409999999,91.90592376,48.16752516,0.10980521900000001,0.389150163,0.10980521900000001,0.389150163,0,0.0,No,High
0.28472222199999997,0.272608145,1.0,0.0,16.83869053,204.2583314,16.83869053,78.4330245,96.58242209,64.07691874,-0.085631049,0.247534192,-0.085631049,0.247534192,0,0.0,No,High
0.439102564,0.45279739,2.75,0.128205128,2.647864441,140.9697408,2.647864441,93.61612695,83.34049138,62.7248554,-0.23828528,0.26475794,-0.23828528,0.26475794,2,0.139465,No,High
0.48958333299999995,0.457741095,1.75,0.166666667,34.47286729,161.52878909999998,34.47286729,95.24662548,71.41397385,64.98293317,-0.42528056799999997,0.20282315399999998,-0.42528056799999997,0.20282315399999998,0,0.0,No,High
0.16875,0.138490749,0.5,0.0,-4.444222039,202.9391096,-4.444222039,81.09947155,80.53441758,60.51601176,-0.083261049,0.744868348,-0.083261049,0.744868348,0,0.0,Yes,High
0.236111111,0.137492985,0.5,0.0,55.91157683,154.60412639999998,55.91157683,88.66520483,112.9601912,42.09837092,-0.18206404,0.457569171,-0.18206404,0.457569171,2,0.1308,Yes,High
0.33796296299999995,0.280159542,1.5,0.111111111,-0.630813936,105.1296591,-0.630813936,91.39708164,88.82462232,63.31903023,-0.26917556800000003,0.22443349699999998,-0.26917556800000003,0.22443349699999998,0,0.0,Yes,High
0.09375,0.074389879,0.25,0.0,-30.43153872,312.51482289999996,-30.43153872,81.40666189,72.22559836,64.23833446,-0.333457273,0.563291129,-0.333457273,0.563291129,2,0.100235,Yes,High
0.125,0.072168784,0.25,0.0,15.12670558,255.2746789,15.12670558,88.20789826,53.58166901,42.52715298,-0.48343015200000006,0.633410419,-0.48343015200000006,0.633410419,0,0.0,No,High
0.214285714,0.145072114,0.5,0.0,-23.17809949,177.8300595,-23.17809949,87.67254163,61.08903691,47.21714298,0.078185325,0.41694379,0.078185325,0.41694379,0,0.0,No,High
0.2125,0.1375,0.5,0.1,43.28927952,284.4277751,43.28927952,99.49252932,115.95460109999999,43.16212755,-0.250278485,0.251710334,-0.250278485,0.251710334,2,0.12780999999999998,Yes,High
0.29861111100000004,0.17249642199999998,0.75,0.055555556,29.07408966,1036.9625449999999,29.07408966,69.56194795,97.48431740000001,57.02964022,-0.390273961,0.20906187699999998,-0.390273961,0.20906187699999998,0,0.0,No,High
0.363636364,0.252569441,0.75,0.0,49.73291169,104.3934849,49.73291169,98.73653715,89.29446228,67.20418633,-0.528718068,0.111803045,-0.528718068,0.111803045,0,0.0,No,High
0.234375,0.097578094,0.375,0.0,25.39452307,145.18563769999997,25.39452307,74.23574402,78.58469215,50.41081021,0.12143675300000001,0.296904436,0.12143675300000001,0.296904436,0,0.0,No,High
0.15625,0.11552642199999999,0.5,0.0,20.45865445,746.3990675,20.45865445,99.78258448,79.49507801,57.46350211,0.370373636,0.505449721,0.370373636,0.505449721,1,0.12364000000000001,No,High
0.130952381,0.060702612999999996,0.25,0.0,38.06492878,744.9614478999999,38.06492878,92.55731531,97.92440041,56.1293592,0.155690057,0.38827545700000005,0.155690057,0.38827545700000005,0,0.0,No,High
0.125,0.064549722,0.25,0.066666667,-13.95705841,979.5902511,-13.95705841,117.00117040000002,100.4559165,47.44738659,0.45661484799999996,0.450905645,0.45661484799999996,0.450905645,2,0.14144500000000002,No,High
0.125,0.0,0.125,0.25,26.99307069,736.9670162000001,26.99307069,107.68688929999999,58.1823466,41.05993018,0.741861515,0.543814965,0.741861515,0.543814965,0,0.0,No,High
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,No,High
0.194444444,0.145667896,0.375,0.111111111,-2.312085905,195.38351509999998,-2.312085905,79.09160959999998,119.89822,50.93881452,-0.090506263,0.639448346,-0.090506263,0.639448346,0,0.0,Yes,High
0.263513514,0.14467981800000002,0.625,0.081081081,3.525291773,95.59951421,3.525291773,88.26630231,107.64631409999998,49.88992082,-0.11074827,0.274931028,-0.11074827,0.274931028,1,0.15370999999999999,Yes,High
0.422619048,0.302460619,1.25,0.095238095,-17.70269956,79.49754045,-17.70269956,106.27207879999999,90.81437227,69.26416234,-0.43115381799999997,0.251540386,-0.43115381799999997,0.251540386,4,0.1462725,Yes,High
0.125,0.058925565,0.25,0.111111111,-1.4942868980000001,194.23936840000002,-1.4942868980000001,103.1807964,123.3211503,36.533017799999996,-0.032039318,0.41952708200000005,-0.032039318,0.41952708200000005,1,0.10665999999999999,Yes,High
0.16346153800000002,0.113770765,0.375,0.076923077,-23.22277308,643.8589454,-23.22277308,101.1940811,109.92053200000001,49.05461172,-0.22945090899999998,0.47927145299999996,-0.22945090899999998,0.47927145299999996,0,0.0,No,High
0.201923077,0.143266004,0.625,0.038461537999999997,15.62985066,423.4302568,15.62985066,81.08409688,90.60690551,55.37064508,0.025822273,0.421122373,0.025822273,0.421122373,0,0.0,No,High
0.198863636,0.134095724,0.375,0.090909091,-7.214104335,408.6219503,-7.214104335,116.04970520000002,90.08692121,56.67650022,-0.035690866,0.46634754,-0.035690866,0.46634754,0,0.0,Yes,High
0.13888888900000002,0.149587911,0.5,0.0,51.81973307,789.2161205,51.81973307,79.81787984,62.34937349,55.62345106,0.001159432,0.549832704,0.001159432,0.549832704,0,0.0,No,High
0.333333333,0.311804782,0.75,0.0,8.22213511,133.284044,8.22213511,80.68783772,85.11402472,64.38228977,-0.066425152,0.24245918,-0.066425152,0.24245918,1,0.07601000000000001,No,High
0.17857142899999998,0.187287294,0.5,0.0,-36.11189834,577.3819314,-36.11189834,105.81618770000001,73.42019928,49.46075795,0.02797961,0.384824902,0.02797961,0.384824902,1,0.09319,No,High
0.145833333,0.085898034,0.25,0.0,-58.00958616,68.87017293,-58.00958616,79.84652751,81.55301809,48.89440145,-0.170957652,0.437235648,-0.170957652,0.437235648,2,0.11092,No,High
0.302083333,0.129686454,0.5,0.0,-14.46569536,306.12548619999995,-14.46569536,92.10156239,91.23799027,50.11158925,-0.47984265200000004,0.387850333,-0.47984265200000004,0.387850333,0,0.0,No,High
0.333333333,0.197642354,0.75,0.194444444,17.17922585,109.2920298,17.17922585,95.88614382,83.82361639,63.54610519,-0.253383939,0.228425087,-0.253383939,0.228425087,5,0.12909600000000002,No,High
0.39473684200000003,0.230357124,0.75,0.10526315800000001,41.56962637,379.341089,41.56962637,58.39364570000001,97.17547953,56.06858175,-0.5551282470000001,0.283196844,-0.5551282470000001,0.283196844,0,0.0,No,High
0.45833333299999995,0.6718548120000001,2.625,0.0,76.95917634,180.81299199999998,76.95917634,68.57431126,77.06923526,60.75867149,-0.505635568,0.287339317,-0.505635568,0.287339317,1,0.15162,No,High
