Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Refixation_Ratio,Average_Saccade_Length,Saccade_Length_SD,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Average_Right_Eye_Difference,Right_Eye_Difference_SD,Blink_Count,Average_Blink_Duration,Number of English AOIs,CEFR Median
0.13671875,0.070637271,0.3125,0.0,11.82820061,550.6028633999999,11.82820061,65.87524353,106.1949439,51.37260321,0.533941378,0.9424486040000001,0.533941378,0.9424486040000001,0,0.0,3,Low
0.125,0.0,0.125,0.0,-87.49352756,0.0,-87.49352756,0.0,58.50749558,0.0,0.0,0.0,0.0,0.0,0,0.0,3,Low
0.125,0.0625,0.1875,0.0,-13.61463965,80.74133408,-13.61463965,84.58165954,93.42777249,82.59109156,0.826957742,0.0,0.826957742,0.0,0,0.0,0,Low
0.128472222,0.067418361,0.3125,0.055555556,4.346108015,351.0760767,4.346108015,93.29946711,71.01008876,49.54994593,0.544779964,0.48857325,0.544779964,0.48857325,3,0.146826667,3,Low
0.073863636,0.035934972999999995,0.125,0.0,26.66861701,1109.007993,26.66861701,80.77910011,118.4033289,51.19485973,0.648785015,1.7532451480000002,0.648785015,1.7532451480000002,1,0.32821999999999996,3,Low
0.125,0.07595545299999999,0.4375,0.015384615,-22.71640577,658.373104,-22.71640577,94.76661137,91.95160295,53.61104599,0.596694171,0.925229938,0.596694171,0.925229938,1,0.08435,3,Low
0.1046875,0.047160587999999996,0.1875,0.0,0.092120566,1644.180253,0.092120566,95.00396991,89.3019776,60.89244225,1.838900885,0.83388985,1.838900885,0.83388985,0,0.0,0,Low
0.244318182,0.14340260800000001,0.5,0.045454545,54.81070165,251.6860687,54.81070165,82.0981997,89.00305946,58.37848686,-0.100354985,0.34186535100000004,-0.100354985,0.34186535100000004,0,0.0,3,Low
0.22265625,0.098743943,0.5,0.0,33.20161068,79.49810879,33.20161068,94.1809355,75.29219995,59.52564474,-0.232707258,0.150773762,-0.232707258,0.150773762,0,0.0,3,Low
0.241666667,0.120473602,0.5625,0.066666667,4.458739053,219.6186014,4.458739053,115.83325420000001,94.08763631,59.29693609,-0.408611591,0.316148625,-0.408611591,0.316148625,0,0.0,3,Low
0.149709302,0.088531641,0.375,0.023255814,12.3744274,300.2129196,12.3744274,96.68720257,83.38219516,61.13936824,0.657768624,0.609181085,0.657768624,0.609181085,1,0.13493,0,Low
0.246306523,0.19537669300000002,2.67188,0.168458781,3.527301304,124.8569541,3.527301304,98.25931589,99.42675379,55.06587852,0.16864901699999998,0.31075708,0.16864901699999998,0.31075708,4,0.1268875,3,Low
0.23848306600000002,0.140482683,0.90625,0.15328467199999998,13.03928048,125.7158335,13.03928048,106.64704750000001,100.0944704,55.00423374,0.17770056,0.31744485100000003,0.17770056,0.31744485100000003,3,0.133223333,0,Low
0.238453478,0.11440809800000001,0.67188,0.057971014,20.16474319,123.21458600000001,20.16474319,95.45421661,99.75217285,57.47880872,-0.081536422,0.205602483,-0.081536422,0.205602483,0,0.0,3,Low
0.247443448,0.11503858900000001,0.71875,0.11206896599999999,31.93333255,101.2336533,31.93333255,96.07051561,97.19195861,57.23927672,0.024649256,0.287916472,0.024649256,0.287916472,1,0.15515,3,Low
0.23361536600000002,0.113304484,0.64063,0.0,18.5778941,53.10938491,18.5778941,96.33989236,109.34749769999999,47.36097928,0.14725766699999998,0.36940658200000004,0.14725766699999998,0.36940658200000004,0,0.0,3,Low
0.259824143,0.142501698,0.71875,0.1,27.126155400000002,89.81656486,27.126155400000002,100.8458783,92.90018667,53.88812133,0.005861304,0.27781488600000004,0.005861304,0.27781488600000004,0,0.0,0,Low
0.252607222,0.160510346,1.07813,0.097222222,19.98867277,255.74479269999998,19.98867277,100.8748645,90.66038087,59.24560173,0.316086095,0.571387899,0.316086095,0.571387899,1,1.13355,3,Low
0.263223654,0.15261386400000002,0.9218799999999999,0.076923077,43.31258127,133.14100420000003,43.31258127,99.25205791,103.0940413,57.76926349,0.060915625,0.304885075,0.060915625,0.304885075,1,0.1558,3,Low
0.27274588899999996,0.177758938,0.8906299999999999,0.088888889,21.98329458,199.6950957,21.98329458,104.14972979999999,94.88966947,62.70147134,0.18071678,0.264700975,0.18071678,0.264700975,2,0.17294500000000002,3,Low
0.2448461,0.136108989,0.70313,0.13,15.73294574,106.20850949999999,15.73294574,99.43932548,94.43511636,57.67325627,0.154483229,0.267063518,0.154483229,0.267063518,4,0.164965,0,Low
0.231772833,0.116129842,0.625,0.016666667,43.65715379,129.97520600000001,43.65715379,97.01062286,83.55515911,56.32050793,0.196699524,0.29441480800000003,0.196699524,0.29441480800000003,1,0.06742000000000001,3,Low
0.22806106399999998,0.10900227300000001,0.51563,0.063829787,17.51795884,143.90769440000003,17.51795884,106.90977649999999,87.51385309999999,60.33318239,0.185752222,0.37452070000000004,0.185752222,0.37452070000000004,1,0.0507,3,Low
0.21759537,0.10227672,0.5,0.037037037,32.53065872,221.09673709999998,32.53065872,93.39926747,88.2507277,58.37293944,0.32392078399999996,0.40954723,0.32392078399999996,0.40954723,2,0.114975,3,Low
0.229965765,0.109456586,0.5625,0.070588235,1.547946448,123.50816770000002,1.547946448,97.65073467,92.97642669,54.56593228,0.145130667,0.379640372,0.145130667,0.379640372,1,0.17754,0,Low
0.258623103,0.135879839,0.64063,0.034482759,43.46237796,161.1145634,43.46237796,93.89957764,101.12285370000001,61.57817332,0.094135952,0.31337955300000003,0.094135952,0.31337955300000003,0,0.0,3,Low
0.260066271,0.11185402900000001,0.57813,0.169491525,22.83066326,139.34408359999998,22.83066326,89.67398389,99.19389352,57.75128482,0.08603193,0.357169918,0.08603193,0.357169918,2,0.125075,3,Low
0.226295862,0.08415496300000001,0.34375,0.034482759,33.45087956,128.4334881,33.45087956,82.4249578,102.36912,51.80667751,0.17805,0.347191794,0.17805,0.347191794,1,0.03143,3,Low
0.28391234,0.14580504800000002,0.67188,0.042553191,28.98341026,103.0163713,28.98341026,96.39033877,103.13978399999999,54.72187234,0.052757110999999995,0.290861595,0.052757110999999995,0.290861595,0,0.0,0,Low
0.25974529399999996,0.159344022,0.8593799999999999,0.070588235,30.49636772,145.6002226,30.49636772,95.4916165,102.72226690000001,57.12857528,-0.0019459260000000002,0.33753890000000003,-0.0019459260000000002,0.33753890000000003,2,0.15423499999999998,3,Low
0.238023333,0.120942521,0.57813,0.0,63.68696189999999,232.79416490000003,63.68696189999999,78.96582018,98.83751471,51.12892397,0.02642046,0.323842167,0.02642046,0.323842167,0,0.0,3,Low
0.226877733,0.094661026,0.625,0.08,28.23487372,117.91060929999999,28.23487372,91.54847276,108.63746040000001,55.50841602,0.296167215,0.350822629,0.296167215,0.350822629,0,0.0,3,Low
0.233776923,0.09791209699999999,0.46875,0.076923077,33.63273613,137.3585211,33.63273613,83.2268504,99.36966013,59.87611759,0.17732451,0.289785664,0.17732451,0.289785664,0,0.0,0,Low
0.250374524,0.12741786300000002,0.79688,0.071428571,5.221883322,114.8308112,5.221883322,105.24253529999999,95.30943673,59.91393767,0.20900300800000002,0.333218169,0.20900300800000002,0.333218169,1,0.18899999999999997,3,Low
