userID,Total_Fixation_Count,Total_Fixation_Duration,Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Total_Refixation_Count,Refixation_Ratio,Total_Saccade_Length,Average_Saccade_Length,Saccade_Length_SD,Total_Saccade_Absolute_Angle,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Total_Saccade_Relative_Angle,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Total_Left_Eye_Difference,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Total_Right_Eye_Difference,Average_Right_Eye_Difference,Right_Eye_Difference_SD,Blink_Count,Total_Blink_Duration,Average_Blink_Duration,LanguageSwitch
4799,6,1.375,0.229166667,0.112190933,0.375,2,0.333333333,7080.657992,27.19056361,1596.649827,163.1433817,27.19056361,99.96892865,308.9202631,51.48671051,46.23366379,0.831379091,0.138563182,0.318917574,0.831379091,0.138563182,0.318917574,1,0.29796,0.29796,No
4799,26,4.625,0.177884615,0.130518,0.5,2,0.076923077,5724.627913,-5.468635254,277.958536,-142.1845166,-5.468635254,86.78455929,2404.416505,92.4775579,58.02479638,-11.55042545,-0.462017018,0.483853859,-11.55042545,-0.462017018,0.483853859,1,0.11022,0.11022,No
4799,13,1.875,0.144230769,0.107932425,0.375,2,0.153846154,3107.950298,-23.71898593,320.273363,-308.3468171,-23.71898593,105.764229,1025.313257,78.8702505,58.72408652,-0.553603636,-0.042584895,0.415069636,-0.553603636,-0.042584895,0.415069636,1,0.12394,0.12394,No
4799,8,0.875,0.109375,0.097578094,0.25,0,0,1053.059787,26.00173213,61.80677374,208.013857,26.00173213,101.4730345,516.8981348,64.61226685,24.45251366,-1.959524545,-0.244940568,0.299592555,-1.959524545,-0.244940568,0.299592555,0,0,0,No
4799,26,6.625,0.254807692,0.160680529,0.75,2,0.076923077,2812.654757,16.14753907,85.0640005,419.8360158,16.14753907,84.06735504,2973.356105,114.3598502,51.18873426,-9.400205455,-0.376008218,0.268702898,-9.400205455,-0.376008218,0.268702898,1,0.07055,0.07055,No
4799,22,4.375,0.198863636,0.110904666,0.5,1,0.045454545,2850.620128,31.29921124,93.51484428,688.5826472,31.29921124,71.54129598,2569.784951,116.8084069,53.13062213,-9.241366364,-0.462068318,0.173774878,-9.241366364,-0.462068318,0.173774878,0,0,0,No
4799,57,15.5,0.271929825,0.183058217,1.125,9,0.157894737,7006.62415,17.17842034,128.7837773,979.1699593,17.17842034,89.71335173,6226.52842,109.2373407,64.41637377,-27.83885091,-0.556777018,0.196378217,-27.83885091,-0.556777018,0.196378217,2,0.2886,0.1443,No
4799,18,7.625,0.423611111,0.239859945,1.125,1,0.055555556,2741.096486,44.4743436,143.6570498,800.5381847,44.4743436,86.63761744,1342.179481,74.56552674,70.29562469,-8.405275455,-0.600376818,0.211683384,-8.405275455,-0.600376818,0.211683384,1,0.15479,0.15479,No
4799,11,1.125,0.102272727,0.089477362,0.25,1,0.090909091,3535.640657,-27.43248923,435.1943501,-301.7573815,-27.43248923,93.91615158,770.6223653,70.05657866,59.77541248,1.000765455,0.125095682,0.338271497,1.000765455,0.125095682,0.338271497,1,0.18345,0.18345,Yes
4799,15,4.125,0.275,0.138443731,0.625,0,0,1768.62658,37.74943213,83.22458736,566.2414819,37.74943213,94.684906,1433.957016,95.59713439,66.36939852,-1.573833636,-0.121064126,0.197503476,-1.573833636,-0.121064126,0.197503476,1,0.03125,0.03125,Yes
4799,31,12.25,0.39516129,0.273302632,1,2,0.064516129,4312.106402,29.70770205,132.0625592,920.9387635,29.70770205,110.8009458,2829.82005,91.28451776,63.60720075,-11.58216545,-0.463286618,0.312332259,-11.58216545,-0.463286618,0.312332259,1,0.16441,0.16441,Yes
4799,8,2,0.25,0.108253175,0.5,0,0,818.8855942,45.53415057,91.28673542,364.2732045,45.53415057,95.62127812,790.1269995,98.76587493,58.29095121,-2.442122727,-0.348874675,0.15633425,-2.442122727,-0.348874675,0.15633425,0,0,0,Yes
4799,5,1.75,0.35,0.2,0.625,0,0,1665.617456,43.32950336,234.4778917,216.6475168,43.32950336,111.2969221,428.616874,85.7233748,54.66563749,-1.037755455,-0.345918485,0.328814959,-1.037755455,-0.345918485,0.328814959,0,0,0,No
4799,2,0.25,0.125,0,0.125,0,0,305.6014701,60.39017794,98.25697231,120.7803559,60.39017794,17.02441001,60.08724059,30.0436203,9.491402458,0,0,0,0,0,0,0,0,0,No
