MEDIA_ID,MEDIA_NAME,BKID,BKDUR,BKPMIN,X_Coordinate,Y_Coordinate,userID,AOI_TYPE,Page
1,hapii,1111,0.060370000000000014,21,0,0,1982,NOT_AOI,1
1,hapii,1112,0.15789,21,0,0,1982,NOT_AOI,1
1,hapii,1113,0.02822,22,0,0,1982,NOT_AOI,1
1,hapii,1114,0.03605,22,439,740,1982,NOT_AOI,1
1,hapii,1115,0.13402,21,0,0,1982,NOT_AOI,2
1,hapii,1116,0.17138,22,0,0,1982,NOT_AOI,2
1,hapii,1117,0.052320000000000005,20,0,0,1982,NOT_AOI,2
1,hapii,1118,0.11829,19,0,0,1982,NOT_AOI,2
1,hapii,1119,0.1094,19,0,0,1982,NOT_AOI,2
1,hapii,1120,0.1156,19,338,313,1982,NOT_AOI,2
1,hapii,1121,0.10517,17,434,1523,1982,NOT_AOI,2
1,hapii,1122,0.1542,18,0,0,1982,NOT_AOI,2
1,hapii,1123,0.40658,19,0,0,1982,NOT_AOI,2
1,hapii,1124,0.16996,19,354,479,1982,NOT_AOI,2
1,hapii,1125,0.12657000000000002,20,0,0,1982,NOT_AOI,2
1,hapii,1126,0.12938,21,0,0,1982,NOT_AOI,2
1,hapii,1127,0.13737,21,0,0,1982,NOT_AOI,2
1,hapii,1128,0.10455,21,0,0,1982,NOT_AOI,3
1,hapii,1129,0.16762,21,0,0,1982,NOT_AOI,3
1,hapii,1130,0.059770000000000004,21,0,0,1982,NOT_AOI,3
1,hapii,1131,0.6509,22,1242,-3549,1982,NOT_AOI,3
1,hapii,1132,0.1638,22,0,0,1982,NOT_AOI,3
1,hapii,1133,0.36703,21,0,0,1982,NOT_AOI,3
1,hapii,1134,0.5342100000000001,21,3039,-508,1982,NOT_AOI,3
1,hapii,1135,0.08378,22,557,-1101,1982,NOT_AOI,3
1,hapii,1136,0.1582,22,797,894,1982,RESULT6,3
1,hapii,1137,0.1667,23,730,917,1982,RESULT6,3
1,hapii,1138,0.15778,24,0,0,1982,NOT_AOI,3
1,hapii,1139,0.15337,24,0,0,1982,NOT_AOI,3
1,hapii,1140,0.12715,24,0,0,1982,NOT_AOI,3
1,hapii,1141,0.11594000000000006,25,0,0,1982,NOT_AOI,3
1,hapii,1142,0.11300999999999999,26,0,0,1982,NOT_AOI,3
1,hapii,1143,0.08489,26,0,0,1982,NOT_AOI,3
1,hapii,1144,0.10489000000000001,25,0,0,1982,NOT_AOI,3
1,hapii,1145,0.13739,25,1062,1024,1982,NOT_AOI,3
1,hapii,1146,0.07739,26,1027,525,1982,RESULT3,4
1,hapii,1147,0.07627,27,0,0,1982,NOT_AOI,4
1,hapii,1148,0.15563,27,0,0,1982,NOT_AOI,4
1,hapii,1149,0.06573999999999999,27,0,0,1982,NOT_AOI,4
1,hapii,1150,0.031010000000000006,28,0,0,1982,NOT_AOI,4
1,hapii,1151,0.15555,27,89,228,1982,NOT_AOI,4
1,hapii,1152,0.1376,25,475,358,1982,NOT_AOI,4
1,hapii,1153,0.13775,22,332,683,1982,NOT_AOI,4
1,hapii,1155,0.0779,19,536,215,1982,NOT_AOI,4
1,hapii,1157,0.13735,15,0,0,1982,NOT_AOI,5
1,hapii,1158,0.15152000000000002,10,0,0,1982,NOT_AOI,5
1,hapii,1160,0.01842,10,0,0,1982,NOT_AOI,5
1,hapii,1161,0.15395999999999999,10,0,0,1982,NOT_AOI,5
1,hapii,1163,0.032060000000000005,11,0,0,1982,NOT_AOI,5
