userID,Duration,Page,Order,Language,TaskPage
2899,5.5,9,3,English,1
2899,5.199999999999989,9,3,English,2
2899,2.1999999999999886,14,3,English,1
2899,1.6999999999999886,14,3,English,2
2899,1.6999999999999318,19,3,English,1
2899,1.0,19,3,English,2
2899,5.199999999999932,24,3,English,1
2899,12.5,24,3,English,2
2899,5.199999999999932,29,3,English,1
2899,2.0,29,3,English,2
6673,10.100000000000364,1,3,English,1
6673,3.099999999999909,1,3,English,2
6673,2.300000000000182,6,3,English,1
6673,11.5,6,3,English,2
6673,2.0,11,3,English,1
6673,8.0,11,3,English,2
6673,13.900000000000034,16,3,English,1
6673,7.099999999999966,16,3,English,2
6673,5.600000000000023,21,3,English,1
6673,6.7000000000000455,21,3,English,2
6673,1.8999999999999773,26,3,English,1
6673,13.100000000000023,26,3,English,2
7734,9.400000000000034,4,3,English,1
7734,11.599999999999966,4,3,English,2
7734,7.400000000000091,9,3,English,1
7734,2.3999999999999773,9,3,English,2
7734,2.5,14,3,English,1
7734,8.099999999999909,14,3,English,2
7734,3.7999999999999545,19,3,English,1
7734,4.2999999999999545,19,3,English,2
7734,9.099999999999909,24,3,English,1
7734,3.400000000000091,24,3,English,2
7734,1.7999999999999545,29,3,English,1
7734,2.5,29,3,English,2
2068,2.0999999999999943,1,3,English,1
2068,33.80000000000001,1,3,English,2
2068,5.100000000000023,6,3,English,1
2068,4.199999999999989,6,3,English,2
2068,2.1000000000000227,11,3,English,1
2068,1.0,11,3,English,2
2068,2.0,16,3,English,1
2068,7.600000000000023,16,3,English,2
2068,1.3000000000000682,21,3,English,1
2068,1.0,21,3,English,2
2068,7.2999999999999545,26,3,English,1
2068,3.599999999999909,26,3,English,2
6515,8.400000000000091,3,3,English,1
6515,20.09999999999991,3,3,English,2
6515,5.7999999999999545,8,3,English,1
6515,2.7999999999999545,8,3,English,2
6515,2.099999999999909,13,3,English,1
6515,3.5,13,3,English,2
6515,3.1000000000001364,18,3,English,1
6515,5.599999999999909,18,3,English,2
6515,5.2000000000000455,23,3,English,1
6515,1.699999999999818,23,3,English,2
6515,3.699999999999818,28,3,English,1
6515,2.300000000000182,28,3,English,2
5385,0.599999999999909,3,3,English,1
5385,0.7000000000000455,3,3,English,2
5385,1.2000000000000455,8,3,English,1
5385,1.2000000000000455,8,3,English,2
5385,3.3999999999998636,13,3,English,1
5385,0.5,13,3,English,2
5385,0.6999999999998181,18,3,English,1
5385,1.400000000000091,18,3,English,2
5385,0.6999999999998181,23,3,English,1
5385,5.800000000000182,23,3,English,2
5385,0.7999999999997272,28,3,English,1
5385,0.599999999999909,28,3,English,2
6965,2.299999999999727,3,3,English,1
6965,6.300000000000182,3,3,English,2
6965,3.699999999999818,8,3,English,1
6965,6.900000000000091,8,3,English,2
6965,27.0,13,3,English,1
6965,1.699999999999818,13,3,English,2
6965,1.0,18,3,English,1
6965,1.0,18,3,English,2
6965,1.699999999999818,23,3,English,1
6965,2.5,23,3,English,2
6965,2.799999999999997,28,3,English,1
6965,1.8000000000000114,28,3,English,2
1338,2.199999999999818,1,3,English,1
1338,1.1000000000001364,1,3,English,2
1338,1.099999999999909,6,3,English,1
1338,2.0,6,3,English,2
1338,1.5,11,3,English,1
1338,0.8999999999998636,11,3,English,2
1338,1.400000000000091,16,3,English,1
1338,2.099999999999909,16,3,English,2
1338,1.300000000000182,21,3,English,1
1338,0.8999999999998636,21,3,English,2
1338,4.100000000000136,26,3,English,1
1338,2.3999999999998636,26,3,English,2
3816,6.0,2,3,English,1
3816,6.300000000000182,2,3,English,2
3816,3.099999999999909,7,3,English,1
3816,1.400000000000091,7,3,English,2
3816,4.800000000000182,12,3,English,1
3816,1.599999999999909,12,3,English,2
3816,6.800000000000182,17,3,English,1
3816,6.0,17,3,English,2
