Page,AOI_TYPE,Blink_Count,Total_Blink_Duration,Average_Blink_Duration
27,NOT_AOI,13,1.6396199999999996,0.12612461538461536
28,QUERY,2,0.3749,0.18745
28,RESULT1,0,0.0,0.0
28,RESULT2,1,0.1975,0.1975
28,RESULT3,1,0.09127,0.09127
28,RESULT4,0,0.0,0.0
28,RESULT5,0,0.0,0.0
28,RESULT6,0,0.0,0.0
28,NOT_AOI,8,1.16251,0.14531375
29,QUERY,0,0.0,0.0
29,RESULT1,0,0.0,0.0
29,RESULT2,0,0.0,0.0
29,RESULT3,0,0.0,0.0
29,RESULT4,0,0.0,0.0
29,RESULT5,1,0.17632,0.17632
29,RESULT6,0,0.0,0.0
29,NOT_AOI,7,0.77613,0.11087571428571429
30,QUERY,0,0.0,0.0
30,RESULT1,0,0.0,0.0
30,RESULT2,0,0.0,0.0
30,RESULT3,0,0.0,0.0
30,RESULT4,0,0.0,0.0
30,RESULT5,0,0.0,0.0
30,RESULT6,1,0.13652999999999998,0.13652999999999998
30,NOT_AOI,7,0.82889,0.11841285714285714
