ID,userID,resultID,Rank,Relevance,QueryLanguage,createdAt,updatedAt
"161","35","3690","2","0","English","2019-10-08 15:25:05.838","2019-10-08 15:25:05.838"
"162","35","3691","3","0","English","2019-10-08 15:25:07.557","2019-10-08 15:25:07.557"
"163","35","3692","4","0","English","2019-10-08 15:25:09.361","2019-10-08 15:25:09.361"
"164","35","3693","5","0","English","2019-10-08 15:25:14.188","2019-10-08 15:25:14.188"
"165","35","2908","0","0","Chinese","2019-10-08 15:25:25.951","2019-10-08 15:25:25.951"
"166","35","2909","1","0","Chinese","2019-10-08 15:25:27.857","2019-10-08 15:25:27.857"
"167","35","2910","2","1","Chinese","2019-10-08 15:25:34.659","2019-10-08 15:25:34.659"
"168","35","3988","3","1","Chinese","2019-10-08 15:25:36.197","2019-10-08 15:25:36.197"
"169","35","3989","4","0","Chinese","2019-10-08 15:25:40.672","2019-10-08 15:25:40.672"
"170","35","3990","5","1","Chinese","2019-10-08 15:25:44.684","2019-10-08 15:25:44.684"
"171","35","2638","0","0","English","2019-10-08 15:25:55.143","2019-10-08 15:25:55.143"
"172","35","2639","1","0","English","2019-10-08 15:26:02.997","2019-10-08 15:26:02.997"
"173","35","2640","2","0","English","2019-10-08 15:26:05.555","2019-10-08 15:26:05.555"
"174","35","2641","3","1","English","2019-10-08 15:26:07.289","2019-10-08 15:26:07.289"
"175","35","2642","4","0","English","2019-10-08 15:26:10.860","2019-10-08 15:26:10.860"
"176","35","2642","4","1","English","2019-10-08 15:26:12.899","2019-10-08 15:26:12.899"
"177","35","2643","5","0","English","2019-10-08 15:26:17.260","2019-10-08 15:26:17.260"
"178","35","3958","0","0","Chinese","2019-10-08 15:26:27.378","2019-10-08 15:26:27.378"
"179","35","3959","1","0","Chinese","2019-10-08 15:26:28.900","2019-10-08 15:26:28.900"
"180","35","3960","2","0","Chinese","2019-10-08 15:26:35.267","2019-10-08 15:26:35.267"
"181","35","2878","3","0","Chinese","2019-10-08 15:26:37.026","2019-10-08 15:26:37.026"
"182","35","2879","4","1","Chinese","2019-10-08 15:26:43.716","2019-10-08 15:26:43.716"
"183","35","2880","5","0","Chinese","2019-10-08 15:26:45.387","2019-10-08 15:26:45.387"
"184","35","2668","0","0","English","2019-10-08 15:27:06.576","2019-10-08 15:27:06.576"
"185","35","2668","0","1","English","2019-10-08 15:27:19.199","2019-10-08 15:27:19.199"
"186","35","2668","0","0","English","2019-10-08 15:27:28.093","2019-10-08 15:27:28.093"
"187","35","3748","1","0","English","2019-10-08 15:27:29.629","2019-10-08 15:27:29.629"
"188","35","2669","2","0","English","2019-10-08 15:27:30.659","2019-10-08 15:27:30.659"
"189","35","3749","3","0","English","2019-10-08 15:27:31.580","2019-10-08 15:27:31.580"
"190","35","2670","4","0","English","2019-10-08 15:27:36.157","2019-10-08 15:27:36.157"
"191","35","3750","5","0","English","2019-10-08 15:27:37.684","2019-10-08 15:27:37.684"
"192","35","3928","0","0","Chinese","2019-10-08 15:27:47.793","2019-10-08 15:27:47.793"
"193","35","3929","1","0","Chinese","2019-10-08 15:27:49.041","2019-10-08 15:27:49.041"
"194","35","3930","2","0","Chinese","2019-10-08 15:27:58.920","2019-10-08 15:27:58.920"
"195","35","3931","3","0","Chinese","2019-10-08 15:28:00.373","2019-10-08 15:28:00.373"
"196","35","3932","4","0","Chinese","2019-10-08 15:28:06.971","2019-10-08 15:28:06.971"
"197","35","3933","5","0","Chinese","2019-10-08 15:28:11.185","2019-10-08 15:28:11.185"
"198","35","2698","0","0","English","2019-10-08 15:28:19.260","2019-10-08 15:28:19.260"
"199","35","2699","1","0","English","2019-10-08 15:28:20.385","2019-10-08 15:28:20.385"
"200","35","2700","2","1","English","2019-10-08 15:28:22.571","2019-10-08 15:28:22.571"
"201","35","3778","3","0","English","2019-10-08 15:28:23.693","2019-10-08 15:28:23.693"
"202","35","3779","4","0","English","2019-10-08 15:28:26.440","2019-10-08 15:28:26.440"
"203","35","3780","5","0","English","2019-10-08 15:28:29.597","2019-10-08 15:28:29.597"
"204","35","2698","0","1","English","2019-10-08 15:28:42.349","2019-10-08 15:28:42.349"
"205","35","2699","1","1","English","2019-10-08 15:28:44.732","2019-10-08 15:28:44.732"
"206","35","3778","3","1","English","2019-10-08 15:28:47.707","2019-10-08 15:28:47.707"
"207","35","2818","0","1","Chinese","2019-10-08 15:29:08.428","2019-10-08 15:29:08.428"
"208","35","2819","1","1","Chinese","2019-10-08 15:29:09.242","2019-10-08 15:29:09.242"
"209","35","2820","2","0","Chinese","2019-10-08 15:29:12.141","2019-10-08 15:29:12.141"
"210","35","2821","3","0","Chinese","2019-10-08 15:29:15.965","2019-10-08 15:29:15.965"
"211","35","2822","4","1","Chinese","2019-10-08 15:29:18.986","2019-10-08 15:29:18.986"
"212","35","2823","5","0","Chinese","2019-10-08 15:29:24.425","2019-10-08 15:29:24.425"
"213","35","3808","0","0","English","2019-10-08 15:29:45.237","2019-10-08 15:29:45.237"
"214","35","3809","1","0","English","2019-10-08 15:29:47.529","2019-10-08 15:29:47.529"
"215","35","3810","2","0","English","2019-10-08 15:29:51.958","2019-10-08 15:29:51.958"
"216","35","2728","3","0","English","2019-10-08 15:29:53.821","2019-10-08 15:29:53.821"
"217","35","2729","4","0","English","2019-10-08 15:29:54.451","2019-10-08 15:29:54.451"
"218","35","2730","5","1","English","2019-10-08 15:30:07.318","2019-10-08 15:30:07.318"
"219","35","2788","0","0","Chinese","2019-10-08 15:30:13.801","2019-10-08 15:30:13.801"
"220","35","3868","1","0","Chinese","2019-10-08 15:30:14.628","2019-10-08 15:30:14.628"
"221","35","2789","2","0","Chinese","2019-10-08 15:30:16.839","2019-10-08 15:30:16.839"
"222","35","3869","3","0","Chinese","2019-10-08 15:30:25.760","2019-10-08 15:30:25.760"
"223","35","2790","4","0","Chinese","2019-10-08 15:30:26.891","2019-10-08 15:30:26.891"
"224","35","3870","5","0","Chinese","2019-10-08 15:30:31.194","2019-10-08 15:30:31.194"
"225","35","3838","0","0","English","2019-10-08 15:30:39.534","2019-10-08 15:30:39.534"
"226","35","3839","1","0","English","2019-10-08 15:30:43.699","2019-10-08 15:30:43.699"
"227","35","3840","2","0","English","2019-10-08 15:30:47.933","2019-10-08 15:30:47.933"
"228","35","3841","3","0","English","2019-10-08 15:30:49.256","2019-10-08 15:30:49.256"
"229","35","3842","4","0","English","2019-10-08 15:30:52.931","2019-10-08 15:30:52.931"
"230","35","3843","5","1","English","2019-10-08 15:31:22.303","2019-10-08 15:31:22.303"
"231","35","3841","3","1","English","2019-10-08 15:31:41.706","2019-10-08 15:31:41.706"
"232","35","3842","4","1","English","2019-10-08 15:31:47.709","2019-10-08 15:31:47.709"
"233","3894","1800","0","1","Spanish","2019-10-10 11:58:56.593","2019-10-10 11:58:56.593"
"234","3894","1801","1","0","Spanish","2019-10-10 11:58:57.226","2019-10-10 11:58:57.226"
"235","3894","1802","2","1","Spanish","2019-10-10 11:58:57.853","2019-10-10 11:58:57.853"
"236","3894","1803","3","0","Spanish","2019-10-10 11:58:58.539","2019-10-10 11:58:58.539"
"237","3894","1804","4","1","Spanish","2019-10-10 11:58:59.207","2019-10-10 11:58:59.207"
"238","3894","1805","5","0","Spanish","2019-10-10 11:59:00.083","2019-10-10 11:59:00.083"
"239","3894","750","0","0","English","2019-10-10 14:34:10.553","2019-10-10 14:34:10.553"
"240","3894","1830","1","1","English","2019-10-10 14:34:16.444","2019-10-10 14:34:16.444"
"241","3894","751","2","0","English","2019-10-10 14:34:24.870","2019-10-10 14:34:24.870"
"242","3894","1831","3","1","English","2019-10-10 14:34:30.591","2019-10-10 14:34:30.591"
"243","2005","750","0","0","Spanish","2019-10-10 14:38:52.423","2019-10-10 14:38:52.423"
"244","2005","751","1","0","Spanish","2019-10-10 14:38:54.257","2019-10-10 14:38:54.257"
"245","2005","752","2","1","Spanish","2019-10-10 14:39:04.239","2019-10-10 14:39:04.239"
"246","2005","1830","3","0","Spanish","2019-10-10 14:39:19.851","2019-10-10 14:39:19.851"
"247","2005","1831","4","0","Spanish","2019-10-10 14:39:24.975","2019-10-10 14:39:24.975"
"248","2005","1832","5","1","Spanish","2019-10-10 14:39:27.011","2019-10-10 14:39:27.011"
"249","2005","780","0","0","English","2019-10-10 14:39:35.714","2019-10-10 14:39:35.714"
"250","2005","781","1","0","English","2019-10-10 14:39:45.975","2019-10-10 14:39:45.975"
"251","2005","782","2","1","English","2019-10-10 14:39:53.513","2019-10-10 14:39:53.513"
"252","2005","783","3","1","English","2019-10-10 14:40:01.213","2019-10-10 14:40:01.213"
"253","2005","784","4","0","English","2019-10-10 14:40:10.435","2019-10-10 14:40:10.435"
