Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Refixation_Ratio,Average_Saccade_Length,Saccade_Length_SD,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Average_Right_Eye_Difference,Right_Eye_Difference_SD,Blink_Count,Average_Blink_Duration,Number of English AOIs,CEFR Median
0.229216021,0.112846866,0.63574,0.19895288,9.996307522,94.28176387,9.996307522,99.27379915,90.7163375,58.6045247,0.074181324,0.267047319,0.074181324,0.267047319,1,0.031330000000000004,6,Low
0.225433131,0.126809328,0.91089,0.205607477,0.160913594,78.00732843,0.160913594,91.35608841,98.47244958,56.1122564,0.077041902,0.28177071600000003,0.077041902,0.28177071600000003,2,0.13092,6,Low
0.210483333,0.078889507,0.44092,0.117647059,21.37542463,58.10220741,21.37542463,95.92421031,112.9614452,48.97816236,0.036749012000000005,0.329330988,0.036749012000000005,0.329330988,2,0.105595,6,Low
0.219023084,0.13708247199999998,0.8906299999999999,0.198237885,18.93404461,115.9706962,18.93404461,103.0316317,86.51734761,53.39617069,0.16243413,0.335281522,0.16243413,0.335281522,4,0.116585,6,Low
0.24242955,0.164879022,0.92529,0.216216216,24.60434973,118.6727878,24.60434973,95.83337213,83.52312169,56.29220828,0.139079849,0.378147228,0.139079849,0.378147228,0,0.0,6,Low
0.246928197,0.13121153,0.76563,0.098360656,15.19673516,113.6674155,15.19673516,103.0509467,97.63976955,49.60475467,-0.1450145,0.261650333,-0.1450145,0.261650333,0,0.0,6,High
0.235103953,0.108145133,0.51563,0.0,13.33362236,99.59017317,13.33362236,95.12978011,91.08189866,59.38971603,-0.140170553,0.289208931,-0.140170553,0.289208931,2,0.209395,6,High
0.228425079,0.093560498,0.48438,0.079365079,1.161856658,117.773648,1.161856658,105.6004722,95.33111266,56.41530889,-0.12717683300000002,0.25172672100000004,-0.12717683300000002,0.25172672100000004,2,0.1822,6,High
0.280573913,0.14997475400000002,0.76563,0.0,35.69260048,174.9826088,35.69260048,93.80226027,73.87504734,55.68128947,0.034410500000000004,0.18107105,0.034410500000000004,0.18107105,2,0.192765,6,High
0.268094211,0.122639492,0.5,0.0,17.99617517,134.2365036,17.99617517,98.4501593,90.20603447,58.80315299,-0.106643389,0.32058674600000003,-0.106643389,0.32058674600000003,0,0.0,6,High
